          a740g    99     2    96    47    66    48   100   100    40    99   697    70
          aurel    99    66    90   100    77    99   100    99    56    99   885    89
         BDS107    99    95    16    95    88    99   100    98    50    99   839    84
      bert22306    99   100    54    96    99    99   100    97    86    99   929    93
          bplus    99   100   100   100    99    99   100    96     1    99   893    89
       BSpinoza    90    51    72    25    99    86   100    95     5    99   722    72
      CharlieJV   100    31    63    35    99    96   100    94    80    99   797    80
        ChiaPet   100   100    66    54    99    41   100    93    87    99   839    84
        Coolman   100   100    93    26    99    42   100    92    37    90   779    78
        DANILIN   100   100    98    14    99    28   100    91    73    90   793    79
            Dav   100   100    41    53    99    29   100    90    28    90   730    73
           dbox   100    95    82    73    99    94   100    91    15    90   839    84
       dcromley    80    39    22    68    99    59   100    92    61    90   710    71
        Dimster   100    89    10    11    99    73   100    93    99    90   764    76
        Doppler    80     8    39    20    99    25   100    94    81    90   636    64
    DSMan195276   100    90    16    26    99    35   100    95    90    90   741    74
       eoredson    80    94    59    75    99    79   100    96    65    90   837    84
       euklides   100    28     3    20    99    19   100    97    21    90   577    58
           Fifi    80     3    71    30    99    98   100    98    32    90   701    70
        hanness   100    95     9     8    99     2   100    99     8    90   610    61
           Jack    80    40    41    15    99    37   100   100    20    90   622    62
 James D Jarvis   100    34    99    67    99    86   100    99    62    90   836    84
      james2464    80    85    83    12    99    96   100    98    20    90   763    76
       johnno56   100    76     1    16    99    38   100    97    41    90   658    66
          JRace    80    34     2    53    99    68   100    96    61    90   683    68
    justsomeguy   100    61    28    90    99     5   100    95    46    90   714    71
    Kernelpanic    80    94    88    59    99    30   100    94    77    90   811    81
        Keybone   100     2    37    51    99    86   100    93    68    90   726    73
       madscijr    80    28    66    44    99    96   100    92    10    90   705    71
       MasterGy   100    93    46    52    99    33   100    91    36    90   740    74
       mdijkens    80    89    23    89    99    38   100    90    20    90   718    72
      mnrvovrfc   100    71    89    42    99    18   100    91    22    90   722    72
        NasaCow    80    82    71    58    99    58   100    92    22    90   752    75
       OldMoses   100    75    76    80    99    90   100    90   100    90   900    90
           Pete    80    39    28    25    99    60   100    18    54    90   593    59
           Petr   100    62    12    99    99    91   100    45    70    90   768    77
    PhilOfPerth    80    15     9    18    99    47   100     5    54    90   517    52
       RhoSigma   100    82    67    30    99    28   100    94    97    90   787    79
        Richard    80    24    62     4    99    54   100    37     5    90   555    56
           RNBW   100    12    17    90    99    14   100    18    13    90   553    55
      SierraKen    80    73     3    77    99    86   100    19    61    90   688    69
       SMcNeill   100     7    87    77    99    13   100    76    94    90   743    74
       Spriggsy    80    73    27    13    99    24   100    41    81    90   628    63
         Stuart   100    16    75    43    99    59   100    83    11    90   676    68
   TempodiBasic    80    26    95    11    99    17   100    15    17    90   550    55
   TerotRedhand   100    74    34    26    99    44   100    41     3    90   611    61
   TerryRitchie    80    20    31    40    99    76   100    20    50    90   606    61
            Tim   100    57    42    69    99    82   100    54    38    90   731    73
          vince    80    85    74    38    99    28   100     9    57    90   660    66

